,City name,Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
477,macomer,it,40.26,8.77,9.0,3.1,81.0,0.0
478,byron bay,au,-28.65,153.62,27.0,5.1,65.0,0.0
479,suez,eg,29.97,32.54,6.36,1.21,67.0,0.0
480,krapivinskiy,ru,55.0,86.81,-15.0,3.0,71.0,90.0
481,sal rei,cv,16.18,-22.92,20.0,3.1,68.0,20.0
482,nidzica,pl,53.36,20.43,-14.42,4.71,73.0,68.0
483,turayf,sa,31.68,38.65,8.0,2.1,87.0,0.0
484,jackson,us,35.61,-88.82,17.0,2.11,100.0,90.0
485,behbahan,ir,30.59,50.24,10.0,1.71,100.0,0.0
487,lubao,cd,14.94,120.6,26.0,2.1,88.0,40.0
488,romitan,uz,39.93,64.38,9.0,4.1,87.0,76.0
489,huatulco,mx,15.84,-96.33,30.0,5.1,96.0,75.0
490,gumrak,ru,48.78,44.38,-13.0,13.0,78.0,90.0
491,pimentel,pe,-3.7,-45.5,24.34,1.26,96.0,76.0
493,moose factory,ca,51.26,-80.61,-15.0,2.6,92.0,1.0
494,shache,cn,38.42,77.24,-2.39,1.21,69.0,0.0
498,bhandara,in,21.16,79.65,21.0,1.5,49.0,0.0
499,khawhai,in,23.52,93.19,11.44,1.01,89.0,8.0
